Ano de eleição_x,Cargo_x,UF_x,Nome candidato,Número candidato,Partido,Gênero,Votos válidos,Votos nominais,Data de carga_x,Ano de eleição_y,Cargo_y,UF_y,Coligação,Composição da federação,Região,Sigla da federação,Turno,Quantidade de votos válidos,Data de carga_y,quociente_partidario,media_sobra
2022,Deputado Federal,SP,ALEX SPINELLI MANENTE,2323,CIDADANIA,Masculino,22429341,196866,2025-03-25 03:36:58,2022,Deputado Federal,SP,FEDERAÇÃO,CIDADANIA / PSDB,SUDESTE,PSDB/CIDADANIA,1,438574,2025-03-25 03:36:58,1,219287.0
2022,Deputado Federal,SP,MARIO PALUMBO JUNIOR,1500,MDB,Masculino,22429341,254898,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1613626,2025-03-25 03:36:58,5,268937.6666666667
2022,Deputado Federal,SP,LUIZ FELIPE BALEIA TENUTO ROSSI,1515,MDB,Masculino,22429341,236463,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1613626,2025-03-25 03:36:58,5,268937.6666666667
2022,Deputado Federal,SP,FÁBIO EDUARDO DE OLIVEIRA TERUEL,1580,MDB,Masculino,22429341,235165,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1613626,2025-03-25 03:36:58,5,268937.6666666667
2022,Deputado Federal,SP,ALBERTO PEREIRA MOURÃO,1599,MDB,Masculino,22429341,114234,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1613626,2025-03-25 03:36:58,5,268937.6666666667
2022,Deputado Federal,SP,SIMONE APARECIDA CURRALADAS DOS SANTOS,1520,MDB,Feminino,22429341,97730,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,1613626,2025-03-25 03:36:58,5,268937.6666666667
2022,Deputado Federal,SP,ADRIANA MIGUEL VENTURA,3030,NOVO,Feminino,22429341,109474,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,361268,2025-03-25 03:36:58,1,180634.0
2022,Deputado Federal,SP,WESLEY LEONARDO CEZAR,1222,PDT,Masculino,22429341,41054,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,285898,2025-03-25 03:36:58,1,142949.0
2022,Deputado Federal,SP,EDUARDO NANTES BOLSONARO,2222,PL,Masculino,22429341,741701,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,4397423,2025-03-25 03:36:58,16,274838.9375
2022,Deputado Federal,SP,RICARDO DE AQUINO SALLES,2250,PL,Masculino,22429341,640918,2025-03-25 03:36:58,2022,Deputado Federal,SP,PARTIDO ISOLADO,#NULO#,SUDESTE,#NULO#,1,4397423,2025-03-25 03:36:58,16,274838.9375
