Nome candidato,Partido,Votos nominais,_merge
ADRIANA MIGUEL VENTURA,NOVO,109474.0,both
ALBERTO PEREIRA MOURÃO,MDB,114234.0,both
ALENCAR SANTANA BRAGA,PT,139223.0,both
ALEX SPINELLI MANENTE,CIDADANIA,196866.0,both
ALEXANDRE LEITE DA SILVA,UNIÃO,192806.0,both
ALEXANDRE ROCHA SANTOS PADILHA,PT,140037.0,both
ANTONIO CARLOS RODRIGUES,PL,73054.0,both
ANTONIO CEZAR CORREIA FREIRE,PSD,143434.0,both
ARLINDO CHIGNALIA JUNIOR,PT,144108.0,both
ARNALDO CALIL PEREIRA JARDIM,,,right_only
BRUNO AREVALO GANEM,PODE,141595.0,both
BRUNO MARCELLO DE OLIVEIRA LIMA,PP,461217.0,both
CARLA ZAMBELLI SALGADO DE OLIVEIRA,,,right_only
CARLOS ALBERTO DA CUNHA,PP,181568.0,both
CARLOS ALBERTO ROLIM ZARATTINI,PT,147349.0,both
CARLOS HENRIQUE FOCESI SAMPAIO,PSDB,98102.0,both
CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,305520.0,both
DAVID BEZERRA RIBEIRO SOARES,UNIÃO,93831.0,both
EDUARDO NANTES BOLSONARO,PL,741701.0,both
ERIKA SANTOS SILVA,PSOL,256903.0,both
FAUSTO RUY PINATO,PP,72169.0,both
FELIPE BECARI COMENALE,UNIÃO,178777.0,both
FERNANDO JOSE DE SOUZA MARANGONI,UNIÃO,89390.0,both
FRANCISCO DANIEL CELEGUIM DE MORAIS,PT,167438.0,both
FRANCISCO EVERARDO TIRIRICA OLIVEIRA SILVA,PL,71754.0,both
FÁBIO EDUARDO DE OLIVEIRA TERUEL,MDB,235165.0,both
GILBERTO NASCIMENTO SILVA,PSC,95077.0,both
GUILHERME CASTRO BOULOS,PSOL,1001472.0,both
GUILHERME MURARO DERRITE,PL,239772.0,both
IVAN VALENTE,PSOL,44424.0,left_only
JEFFERSON ALVES DE CAMPOS,PL,155336.0,both
JILMAR AUGUSTINHO TATTO,PT,157843.0,both
JONAS DONIZETTE FERREIRA,PSB,84044.0,both
JOSÉ AUGUSTO ROSA,PL,168740.0,both
JULIANA CARDOSO,PT,125517.0,both
KIM PATROCA KATAGUIRI,UNIÃO,295460.0,both
LUCIENE CAVALCANTE DA SILVA,PSOL,49131.0,left_only
LUIZ CARLOS MOTTA,PL,104701.0,both
LUIZ FELIPE BALEIA TENUTO ROSSI,MDB,236463.0,both
LUIZ MARINHO,PT,156202.0,both
LUIZ PAULO TEIXEIRA FERREIRA,,,right_only
LUIZ PHILIPPE DE ORLEANS E BRAGANÇA,PL,79210.0,both
LUIZA ERUNDINA DE SOUSA,PSOL,113983.0,both
MANOEL MAURICIO SILVA NEVES,PP,129731.0,both
MARCELO DE LIMA FERNANDES,SOLIDARIEDADE,110430.0,both
MARCIO LUIZ ALVINO DE SOUZA,PL,187314.0,both
MARCO ANTONIO FELICIANO,PL,220595.0,both
MARCO AURELIO BERTAIOLLI,PSD,157552.0,both
MARCOS ANTONIO PEREIRA,REPUBLICANOS,231626.0,both
MARIA DO PARTO MENDES ROSAS,REPUBLICANOS,94787.0,both
MARIA OSMARINA MARINA DA SILVA VAZ DE LIMA,REDE,237526.0,both
MARIO LUIS FRIAS,PL,122564.0,both
MARIO PALUMBO JUNIOR,MDB,254898.0,both
MIGUEL LOMBARDI,PL,107869.0,both
MILTON VIEIRA PINTO,REPUBLICANOS,98557.0,both
NILTO IGNÁCIO TATTO,PT,151861.0,both
PAULO ALEXANDRE PEREIRA BARBOSA,PSDB,170378.0,both
PAULO FRANCISCO MUNIZ BILYNSKYJ,PL,72156.0,both
PAULO ROBERTO FREIRE DA COSTA,PL,161675.0,both
RENATA HELLMEISTER DE ABREU MELO,PODE,180247.0,both
RICARDO AUGUSTO MACHADO DA SILVA,PSD,133936.0,both
RICARDO DE AQUINO SALLES,PL,640918.0,both
RODRIGO GAMBALE VIEIRA,PODE,108209.0,both
ROSANA DE OLIVEIRA VALLE,PL,216437.0,both
ROSANGELA MARIA WOLFF DE QUADROS MORO,UNIÃO,217170.0,both
RUI GOETHE DA COSTA FALCÃO,PT,193990.0,both
SIMONE APARECIDA CURRALADAS DOS SANTOS,MDB,97730.0,both
SÂMIA DE SOUZA BOMFIM,PSOL,226187.0,both
SÔNIA BONE DE SOUSA SILVA SANTOS,PSOL,156966.0,both
TABATA CLAUDIA AMARAL DE PONTES,PSB,337873.0,both
VINICIUS RAPOZO DE CARVALHO,REPUBLICANOS,113009.0,both
VITOR LIPPI,PSDB,106661.0,both
WESLEY LEONARDO CEZAR,PDT,41054.0,left_only
