Ano de eleição;Cargo;UF;Nome candidato;Número candidato;Partido;Gênero;Votos válidos;Votos nominais;Data de carga
2022;Deputado Federal;SP;ELAINE CRISTINA DO NASCIMENTO;1082;REPUBLICANOS;Feminino;23375585;3185;2025-03-25 03:36:58
2022;Deputado Federal;SP;WESLEY RENATO DE OLIVEIRA SOUZA;2280;PL;Masculino;23375585;15595;2025-03-25 03:36:58
2022;Deputado Federal;SP;CLAUDINEI ALEXANDRE PIRES;7051;AVANTE;Masculino;23375585;2532;2025-03-25 03:36:58
2022;Deputado Federal;SP;RICARDO DE DEUS ANDRADE;3671;AGIR;Masculino;23375585;66;2025-03-25 03:36:58
2022;Deputado Federal;SP;CÃNDIDO ELPÍDIO DE SOUZA VACCAREZZA;7070;AVANTE;Masculino;23375585;6397;2025-03-25 03:36:58
2022;Deputado Federal;SP;ROSANGELA DA SILVA BATISTA;7065;AVANTE;Feminino;23375585;434;2025-03-25 03:36:58
2022;Deputado Federal;SP;LUCIANA PAULA VALENTIM;5174;PATRIOTA;Feminino;23375585;490;2025-03-25 03:36:58
2022;Deputado Federal;SP;CELI REGINA DA CRUZ;1331;PT;Feminino;23375585;9129;2025-03-25 03:36:58
2022;Deputado Federal;SP;MARCELO ROSSI DOS SANTOS;1468;PTB;Masculino;23375585;7612;2025-03-25 03:36:58
2022;Deputado Federal;SP;VIVIANE RODRIGUES DA SILVA AUGUSTO;3628;AGIR;Feminino;23375585;193;2025-03-25 03:36:58
2022;Deputado Federal;SP;DANIEL FERNANDO DE SOUZA CAMILO;1001;REPUBLICANOS;Masculino;23375585;4120;2025-03-25 03:36:58
2022;Deputado Federal;SP;VERA LUCIA SERVONE PINTO;1489;PTB;Feminino;23375585;179;2025-03-25 03:36:58
2022;Deputado Federal;SP;CLAUDIO SIDNEI RIBEIRO;3620;AGIR;Masculino;23375585;632;2025-03-25 03:36:58
2022;Deputado Federal;SP;VANDERCI EDUARDO PEREIRA;2074;PSC;Masculino;23375585;301;2025-03-25 03:36:58
2022;Deputado Federal;SP;FERNANDO FAVORETO;2015;PSC;Masculino;23375585;4595;2025-03-25 03:36:58
2022;Deputado Federal;SP;VANDERLEI MACRIS;4551;PSDB;Masculino;23375585;87502;2025-03-25 03:36:58
2022;Deputado Federal;SP;MADALENA DE LAURA PEREIRA;2008;PSC;Feminino;23375585;362;2025-03-25 03:36:58
2022;Deputado Federal;SP;ANDERSON GOMES DE CAMPOS;2886;PRTB;Masculino;23375585;251;2025-03-25 03:36:58
2022;Deputado Federal;SP;TIAGO DOS SANTOS LIRA;5131;PATRIOTA;Masculino;23375585;1231;2025-03-25 03:36:58
2022;Deputado Federal;SP;ADRILLES REIS JORGE;1414;PTB;Masculino;23375585;91485;2025-03-25 03:36:58
2022;Deputado Federal;SP;ANA PAULA TOSIN;2079;PSC;Feminino;23375585;445;2025-03-25 03:36:58
2022;Deputado Federal;SP;ANTÔNIO OCILIO VASCONCELOS DA SILVA;5011;PSOL;Masculino;23375585;2609;2025-03-25 03:36:58
2022;Deputado Federal;SP;REGINALDO BELARMINO DA SILVA;2815;PRTB;Masculino;23375585;324;2025-03-25 03:36:58
2022;Deputado Federal;SP;EDIVALDO DOMINGOS DE CASTRO;3530;PMB;Masculino;23375585;532;2025-03-25 03:36:58
2022;Deputado Federal;SP;FRANCIS GRACE RAMOS FRANCISCO;3599;PMB;Masculino;23375585;47;2025-03-25 03:36:58
2022;Deputado Federal;SP;SAMUEL PAES;1189;PP;Masculino;23375585;3180;2025-03-25 03:36:58
2022;Deputado Federal;SP;HELIO NISHIMOTO;1567;MDB;Masculino;23375585;13415;2025-03-25 03:36:58
2022;Deputado Federal;SP;DANILA CINTIA AZEVEDO DE OLIVEIRA;1410;PTB;Feminino;23375585;2676;2025-03-25 03:36:58
2022;Deputado Federal;SP;MARIO DONIZETE D ANDREA;1844;REDE;Masculino;23375585;239;2025-03-25 03:36:58
2022;Deputado Federal;SP;JOÃO ROBERTO TRINDADE;2806;PRTB;Masculino;23375585;92;2025-03-25 03:36:58
2022;Deputado Federal;SP;ROSANGELA MARIA WOLFF DE QUADROS MORO;4400;UNIÃO;Feminino;23375585;217170;2025-03-25 03:36:58
2022;Deputado Federal;SP;AMÉRICO ALEXANDRE CIANFARANI XAVIER;1280;PDT;Masculino;23375585;974;2025-03-25 03:36:58
2022;Deputado Federal;SP;DOUGLAS DE ARAUJO GIGLIO;1150;PP;Masculino;23375585;666;2025-03-25 03:36:58
2022;Deputado Federal;SP;ALESSANDRA SOUZA VALIM;1435;PTB;Feminino;23375585;254;2025-03-25 03:36:58
2022;Deputado Federal;SP;LUIZ PHILIPPE DE ORLEANS E BRAGANÇA;2243;PL;Masculino;23375585;79210;2025-03-25 03:36:58
2022;Deputado Federal;SP;SÂMIA DE SOUZA BOMFIM;5000;PSOL;Feminino;23375585;226187;2025-03-25 03:36:58
2022;Deputado Federal;SP;MARIA JOSE DA SILVA;2034;PSC;Feminino;23375585;291;2025-03-25 03:36:58
2022;Deputado Federal;SP;VANESSA CRISTINA DE ROSSI;4090;PSB;Feminino;23375585;1458;2025-03-25 03:36:58
2022;Deputado Federal;SP;MARCELLO LEONARDI BEZERRA;4007;PSB;Masculino;23375585;977;2025-03-25 03:36:58
2022;Deputado Federal;SP;PAULO SERGIO ABOU ANNI;4410;UNIÃO;Masculino;23375585;39013;2025-03-25 03:36:58
2022;Deputado Federal;SP;JOÃO VITOR SPARANO;9056;PROS;Masculino;23375585;300;2025-03-25 03:36:58
2022;Deputado Federal;SP;REINALDO MONTEIRO DA SILVA;4427;UNIÃO;Masculino;23375585;1368;2025-03-25 03:36:58
2022;Deputado Federal;SP;ELIAS DE SISTO;4051;PSB;Masculino;23375585;1223;2025-03-25 03:36:58
2022;Deputado Federal;SP;LUCILIO FERREIRA DA SILVA;5025;PSOL;Masculino;23375585;961;2025-03-25 03:36:58
2022;Deputado Federal;SP;RICARDO MURILO COGHI;4409;UNIÃO;Masculino;23375585;10607;2025-03-25 03:36:58
2022;Deputado Federal;SP;ALENCAR SANTANA BRAGA;1358;PT;Masculino;23375585;139223;2025-03-25 03:36:58
2022;Deputado Federal;SP;SELMA SANTOS GAMA MARTINS;9032;PROS;Feminino;23375585;44;2025-03-25 03:36:58
2022;Deputado Federal;SP;JOSÉ MAURO SOUZA DA SILVA;3367;PMN;Masculino;23375585;65;2025-03-25 03:36:58
2022;Deputado Federal;SP;GERALNICE ALVES TEIXEIRA;9037;PROS;Feminino;23375585;70;2025-03-25 03:36:58
2022;Deputado Federal;SP;SONIA MARIA GUERREIRO PAZINI;1437;PTB;Feminino;23375585;63;2025-03-25 03:36:58
2022;Deputado Federal;SP;ANA CLAUDIA CARLETTO;4517;PSDB;Feminino;23375585;5722;2025-03-25 03:36:58
2022;Deputado Federal;SP;ADOLFO TIMOTIO;1810;REDE;Masculino;23375585;882;2025-03-25 03:36:58
2022;Deputado Federal;SP;ALESSANDRO TADEU DAMIN;1982;PODE;Masculino;23375585;1192;2025-03-25 03:36:58
2022;Deputado Federal;SP;ISRAEL NANTES SANTOS;1112;PP;Masculino;23375585;42470;2025-03-25 03:36:58
2022;Deputado Federal;SP;CRISTIANE FERREIRA DA SILVA;2209;PL;Feminino;23375585;5450;2025-03-25 03:36:58
2022;Deputado Federal;SP;BERNARDO LERER;1314;PT;Masculino;23375585;2673;2025-03-25 03:36:58
2022;Deputado Federal;SP;CARLOS ALBERTO CANTELLI;3680;AGIR;Masculino;23375585;723;2025-03-25 03:36:58
2022;Deputado Federal;SP;ANTONIO CARLOS TONINI;3699;AGIR;Masculino;23375585;568;2025-03-25 03:36:58
2022;Deputado Federal;SP;JORGE LUIS LEPINSK;1577;MDB;Masculino;23375585;0;2025-03-25 03:36:58
2022;Deputado Federal;SP;JOSIANE DE OLIVEIRA;1115;PP;Feminino;23375585;475;2025-03-25 03:36:58
2022;Deputado Federal;SP;RAUL THAME DE TOLEDO ALMEIDA;4342;PV;Masculino;23375585;655;2025-03-25 03:36:58
2022;Deputado Federal;SP;MARIA REGINA GONÇALVES;4343;PV;Feminino;23375585;8905;2025-03-25 03:36:58
2022;Deputado Federal;SP;GILBERTO BENTO;1008;REPUBLICANOS;Masculino;23375585;4018;2025-03-25 03:36:58
2022;Deputado Federal;SP;RUBENS DE ALMEIDA;7057;AVANTE;Masculino;23375585;14944;2025-03-25 03:36:58
2022;Deputado Federal;SP;NEMIAS DA SILVA MOREIRA;3512;PMB;Masculino;23375585;374;2025-03-25 03:36:58
2022;Deputado Federal;SP;WAGNER DONIZETI PEREIRA;5169;PATRIOTA;Masculino;23375585;0;2025-03-25 03:36:58
2022;Deputado Federal;SP;CARLOS ALBERTO VEIGA DE QUADROS;2023;PSC;Masculino;23375585;1114;2025-03-25 03:36:58
2022;Deputado Federal;SP;JOICE CRISTINA HASSELMANN;4555;PSDB;Feminino;23375585;13679;2025-03-25 03:36:58
2022;Deputado Federal;SP;MARINA CORREIA DA SILVA;4546;PSDB;Feminino;23375585;353;2025-03-25 03:36:58
2022;Deputado Federal;SP;ROBSON DE LIMA;3668;AGIR;Masculino;23375585;189;2025-03-25 03:36:58
2022;Deputado Federal;SP;MANOEL DOS SANTOS SILVA IRMAO;3689;AGIR;Masculino;23375585;230;2025-03-25 03:36:58
2022;Deputado Federal;SP;FÁBIO EDUARDO DE OLIVEIRA TERUEL;1580;MDB;Masculino;23375585;235165;2025-03-25 03:36:58
2022;Deputado Federal;SP;ANETE MARIA PIZZIMENTI;2888;PRTB;Feminino;23375585;478;2025-03-25 03:36:58
2022;Deputado Federal;SP;MARCIA REGINA ALVES GONCALVES;1427;PTB;Feminino;23375585;1408;2025-03-25 03:36:58
2022;Deputado Federal;SP;RITA DE CASSIA TRINCA PASSOS;1044;REPUBLICANOS;Feminino;23375585;57800;2025-03-25 03:36:58
2022;Deputado Federal;SP;ORLANDO VITORIANO DE OLIVEIRA;1312;PT;Masculino;23375585;54243;2025-03-25 03:36:58
2022;Deputado Federal;SP;APARECIDO SARAIVA DA ROCHA;1558;MDB;Masculino;23375585;23067;2025-03-25 03:36:58
2022;Deputado Federal;SP;POLLYANA FATIMA GAMA SANTOS;2351;CIDADANIA;Feminino;23375585;12998;2025-03-25 03:36:58
2022;Deputado Federal;SP;ADRIANO GUIMARÃES SIMÕES;1145;PP;Masculino;23375585;1371;2025-03-25 03:36:58
2022;Deputado Federal;SP;JOÃO PEDRO DA PAZ ARAÚJO;1850;REDE;Masculino;23375585;564;2025-03-25 03:36:58
2022;Deputado Federal;SP;KARLA JULIANE DA SILVA ALVES FRANCISCO;1547;MDB;Feminino;23375585;269;2025-03-25 03:36:58
